This is the menu data {'item_name': 'Vesper Chardonnay Bottle', 'description': None, 'price': 3539.82, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vesper Chardonnay (150ml)', 'description': None, 'price': 752.21, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vegan Milk', 'description': None, 'price': 88.49, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Oats Matcha Latte', 'description': None, 'price': 380.53, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Oats Flat White', 'description': None, 'price': 380.53, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Oats Latte', 'description': None, 'price': 380.53, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Oats Cappuccino', 'description': None, 'price': 380.53, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Almond Matcha Latte', 'description': None, 'price': 398.23, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Almond Flat White', 'description': None, 'price': 407.07, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Almond Latte', 'description': None, 'price': 407.07, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Almond Cappuccino', 'description': None, 'price': 407.07, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Iced Almond Matcha', 'description': None, 'price': 601.76, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Iced Almond Latte', 'description': None, 'price': 575.22, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Iced Almond Cappuccino', 'description': None, 'price': 575.22, 'group': 'Vegan Option', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Pineapple Juice', 'description': None, 'price': 44.25, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Mini Abuergine Drama', 'description': None, 'price': 115.04, 'group': 'Brunch Event', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Mini BBQ Fries', 'description': None, 'price': 106.19, 'group': 'Brunch Event', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Lungo', 'description': None, 'price': 309.73, 'group': 'Hot beverage', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Grill Salmon', 'description': None, 'price': 1637.16, 'group': 'Food', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'VANILLA (15ML)', 'description': None, 'price': 79.65, 'group': 'EXTRA', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Elderflower 15 ml', 'description': None, 'price': 70.79, 'group': 'extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Extra Sisha Flavor', 'description': None, 'price': 442.48, 'group': 'extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Straberry Cornetto', 'description': None, 'price': 353.98, 'group': 'Pastries', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Strawberry Cornetto', 'description': None, 'price': 353.98, 'group': 'Pastried', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Marshmellow', 'description': None, 'price': 70.8, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
